FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_internet,internet,year
1,Alabama,2260,4311,1789,4858,2017
2,Alaska,987,2129,461,2713,2017
4,Arizona,4755,10514,2346,12938,2017
5,Arkansas,1604,3631,1598,3665,2017
6,California,3268,5999,1256,7894,2017
8,Colorado,3373,6278,1034,8667,2017
9,Connecticut,3146,7288,1436,9002,2017
10,Delaware,1216,2846,804,3287,2017
11,District of Columbia,1258,2533,688,3156,2017
12,Florida,6684,14953,4616,17031,2017
13,Georgia,1753,4205,1354,4565,2017
15,Hawaii,2396,5318,1222,6372,2017
16,Idaho,1634,3174,763,4094,2017
17,Illinois,1946,3560,954,4518,2017
18,Indiana,4716,8853,2838,10802,2017
19,Iowa,2267,5340,1274,6360,2017
20,Kansas,6494,14941,3089,18236,2017
21,Kentucky,2987,5539,1921,6655,2017
22,Louisiana,1743,2972,1031,3661,2017
23,Maine,3304,6252,1450,8182,2017
24,Maryland,4055,9315,2180,11240,2017
25,Massachusetts,2394,4365,977,5863,2017
26,Michigan,3874,6885,1690,9068,2017
27,Minnesota,4988,11882,2489,14463,2017
28,Mississippi,1660,3284,1471,3491,2017
29,Missouri,2331,5170,1649,5885,2017
30,Montana,1708,4113,1233,4658,2017
31,Nebraska,4399,10780,3091,12098,2017
32,Nevada,1211,2510,617,3121,2017
33,New Hampshire,1750,3924,781,4893,2017
34,New Jersey,3509,7995,2097,9503,2017
35,New Mexico,2184,4286,1606,4823,2017
36,New York,4123,7842,2268,9702,2017
37,North Carolina,1533,3315,997,3847,2017
38,North Dakota,1999,4889,1348,5517,2017
39,Ohio,3919,8152,2614,9561,2017
40,Oklahoma,2056,4432,1404,5165,2017
41,Oregon,2049,3226,591,4734,2017
42,Pennsylvania,2407,4070,1094,5398,2017
44,Rhode Island,1839,3735,910,4656,2017
45,South Carolina,3521,7506,2863,8334,2017
46,South Dakota,1830,5080,1491,5472,2017
47,Tennessee,1937,3767,1302,4466,2017
48,Texas,3693,8319,2638,9463,2017
49,Utah,3771,6344,1026,9158,2017
50,Vermont,2144,4299,951,5490,2017
51,Virginia,2847,6619,1597,7939,2017
53,Washington,4567,8485,1680,11442,2017
54,West Virginia,1865,3529,1361,4077,2017
55,Wisconsin,1957,3804,860,4837,2017
56,Wyoming,1279,3138,738,3704,2017
66,Guam,497,998,316,1174,2017
72,Puerto Rico,992,3440,1805,2666,2017
1,Alabama,2452,4415,1850,5094,2016
2,Alaska,949,1893,396,2485,2016
4,Arizona,3158,7643,2071,8754,2016
5,Arkansas,1600,3596,1593,3660,2016
6,California,3951,7355,1733,9291,2016
8,Colorado,4918,9801,1958,12621,2016
9,Connecticut,3358,7525,1825,9079,2016
10,Delaware,1098,2883,814,3209,2016
11,District of Columbia,1224,2545,647,3179,2016
12,Florida,10026,26139,8239,28021,2016
13,Georgia,1511,3764,1306,3985,2016
15,Hawaii,2388,5648,1523,6472,2016
16,Idaho,1711,3437,956,4235,2016
17,Illinois,1588,3126,852,3856,2016
18,Indiana,3468,7395,2577,8370,2016
19,Iowa,1916,5233,1442,5734,2016
20,Kansas,3342,8613,1933,9975,2016
21,Kentucky,3236,6872,2247,7941,2016
22,Louisiana,1743,3416,1473,3728,2016
23,Maine,3315,6558,1616,8338,2016
24,Maryland,5588,12647,3123,15132,2016
25,Massachusetts,2853,5347,1298,7025,2016
26,Michigan,4091,7777,2035,9882,2016
27,Minnesota,4923,11677,2331,14361,2016
28,Mississippi,1456,3516,1669,3413,2016
29,Missouri,2162,4845,1674,5392,2016
30,Montana,1640,4240,1328,4597,2016
31,Nebraska,4224,10811,3093,11960,2016
32,Nevada,1483,2791,701,3608,2016
33,New Hampshire,1884,4454,928,5427,2016
34,New Jersey,2131,5375,1383,6124,2016
35,New Mexico,1849,4105,1482,4424,2016
36,New York,10926,22579,6923,26437,2016
37,North Carolina,1986,4460,1427,5037,2016
38,North Dakota,1553,4100,1138,4513,2016
39,Ohio,3671,8532,2807,9495,2016
40,Oklahoma,2054,4727,1530,5332,2016
41,Oregon,2073,3256,643,4736,2016
42,Pennsylvania,2462,4267,1135,5614,2016
44,Rhode Island,1785,3589,969,4426,2016
45,South Carolina,3561,7479,2898,8246,2016
46,South Dakota,1480,4204,1129,4601,2016
47,Tennessee,1991,4047,1519,4570,2016
48,Texas,3283,8186,2486,9078,2016
49,Utah,3891,6938,1259,9649,2016
50,Vermont,2141,4312,1015,5467,2016
51,Virginia,2612,6250,1631,7288,2016
53,Washington,4815,9268,1871,12268,2016
54,West Virginia,2362,4676,1742,5355,2016
55,Wisconsin,1683,3545,902,4225,2016
56,Wyoming,1207,3232,845,3627,2016
66,Guam,472,1095,345,1216,2016
72,Puerto Rico,1297,4416,2456,3317,2016
1,Alabama,2579,5206,2297,5551,2015
2,Alaska,1196,2372,516,3117,2015
4,Arizona,2366,5425,1481,6367,2015
5,Arkansas,1545,3574,1769,3421,2015
6,California,4477,8022,2089,10236,2015
8,Colorado,4322,8977,1871,11223,2015
9,Connecticut,3789,7943,2342,9449,2015
10,Delaware,1154,2844,897,3132,2015
11,District of Columbia,1109,2804,883,3060,2015
12,Florida,2894,6607,1901,7681,2015
13,Georgia,1352,3225,1134,3458,2015
15,Hawaii,2037,5085,1328,5728,2015
16,Idaho,1860,3840,1087,4641,2015
17,Illinois,1888,3346,1045,4195,2015
18,Indiana,1939,4011,1396,4590,2015
19,Iowa,1687,4442,1334,4799,2015
20,Kansas,6212,16644,4132,18574,2015
21,Kentucky,2787,5864,2223,6510,2015
22,Louisiana,1529,3102,1402,3222,2015
23,Maine,2908,5996,1582,7422,2015
24,Maryland,3577,8805,2421,10002,2015
25,Massachusetts,3149,5935,1572,7503,2015
26,Michigan,3000,5834,1497,7350,2015
27,Minnesota,4725,11805,2567,14091,2015
28,Mississippi,1642,4287,2306,3653,2015
29,Missouri,2201,4989,1862,5397,2015
30,Montana,1639,4321,1445,4559,2015
31,Nebraska,4588,12781,3745,13667,2015
32,Nevada,986,1885,494,2411,2015
33,New Hampshire,2007,4893,1126,5822,2015
34,New Jersey,3200,8032,2025,9239,2015
35,New Mexico,2062,4589,1769,4856,2015
36,New York,4015,8021,2609,9492,2015
37,North Carolina,1970,4638,1520,5102,2015
38,North Dakota,1363,3519,1085,3824,2015
39,Ohio,3558,8143,3069,8751,2015
40,Oklahoma,2025,4816,1840,5051,2015
41,Oregon,1936,3304,791,4507,2015
42,Pennsylvania,1897,3749,1187,4505,2015
44,Rhode Island,1960,4107,1282,4856,2015
45,South Carolina,3602,7746,2971,8533,2015
46,South Dakota,1792,5327,1668,5513,2015
47,Tennessee,1842,4024,1689,4188,2015
48,Texas,3943,10420,3601,10869,2015
49,Utah,4079,7167,1227,10054,2015
50,Vermont,1962,4430,1033,5404,2015
51,Virginia,2327,6169,1573,7001,2015
53,Washington,5236,10650,2349,13647,2015
54,West Virginia,1880,3982,1564,4343,2015
55,Wisconsin,1975,4160,1201,4930,2015
56,Wyoming,1505,3893,1255,4176,2015
66,Guam,520,1143,369,1280,2015
72,Puerto Rico,1179,4183,2538,2839,2015
1,Alabama,2906,5568,2771,5756,2014
2,Alaska,1358,2933,531,3775,2014
4,Arizona,4180,10453,2879,11540,2014
5,Arkansas,1559,3566,1711,3364,2014
6,California,2987,5771,1536,6815,2014
8,Colorado,4134,9053,2146,11033,2014
9,Connecticut,2428,5410,1403,6243,2014
10,Delaware,1162,3041,1002,3219,2014
11,District of Columbia,1099,2894,831,3138,2014
12,Florida,2773,6771,1930,7544,2014
13,Georgia,1974,4267,1516,4586,2014
15,Hawaii,2017,5176,1478,5592,2014
16,Idaho,1744,3622,1075,4268,2014
17,Illinois,1732,3279,969,3947,2014
18,Indiana,3657,7599,2808,8440,2014
19,Iowa,2196,5811,1826,6175,2014
20,Kansas,3650,9850,2568,10916,2014
