FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year
1,Alabama,2260,4311,197,5944,8,6038,2017
2,Alaska,987,2129,61,2899,6,2900,2017
4,Arizona,4755,10514,297,13658,33,13581,2017
5,Arkansas,1604,3631,134,4626,6,4620,2017
6,California,3268,5999,105,8231,11,8142,2017
8,Colorado,3373,6278,130,8415,3,8349,2017
9,Connecticut,3146,7288,183,9374,9,9360,2017
10,Delaware,1216,2846,64,3624,9,3581,2017
11,District of Columbia,1258,2533,48,3441,1,3342,2017
12,Florida,6684,14953,499,19379,61,19334,2017
13,Georgia,1753,4205,128,5266,14,5206,2017
15,Hawaii,2396,5318,112,7119,16,7121,2017
16,Idaho,1634,3174,74,4509,5,4520,2017
17,Illinois,1946,3560,78,5118,11,5136,2017
18,Indiana,4716,8853,303,12394,26,12417,2017
19,Iowa,2267,5340,80,7021,6,6966,2017
20,Kansas,6494,14941,473,18985,37,19006,2017
21,Kentucky,2987,5539,211,7715,18,7701,2017
22,Louisiana,1743,2972,119,4106,5,4123,2017
23,Maine,3304,6252,163,8905,13,8957,2017
24,Maryland,4055,9315,234,11948,12,11938,2017
25,Massachusetts,2394,4365,125,6197,18,6143,2017
26,Michigan,3874,6885,161,10023,11,10029,2017
27,Minnesota,4988,11882,219,15397,28,15278,2017
28,Mississippi,1660,3284,123,4429,12,4442,2017
29,Missouri,2331,5170,147,6926,10,6946,2017
30,Montana,1708,4113,82,5482,11,5489,2017
31,Nebraska,4399,10780,302,13959,34,13993,2017
32,Nevada,1211,2510,60,3454,8,3459,2017
33,New Hampshire,1750,3924,112,5146,6,5142,2017
34,New Jersey,3509,7995,224,10503,31,10436,2017
35,New Mexico,2184,4286,124,5817,15,5804,2017
36,New York,4123,7842,205,10726,34,10661,2017
37,North Carolina,1533,3315,73,4424,6,4377,2017
38,North Dakota,1999,4889,129,6412,6,6444,2017
39,Ohio,3919,8152,257,11070,27,11079,2017
40,Oklahoma,2056,4432,179,5748,8,5696,2017
41,Oregon,2049,3226,65,4757,9,4768,2017
42,Pennsylvania,2407,4070,120,5967,15,6005,2017
44,Rhode Island,1839,3735,110,5004,9,4976,2017
45,South Carolina,3521,7506,209,10073,13,10063,2017
46,South Dakota,1830,5080,139,6434,6,6457,2017
47,Tennessee,1937,3767,116,5065,10,5040,2017
48,Texas,3693,8319,265,10814,37,10784,2017
49,Utah,3771,6344,141,9378,25,9373,2017
50,Vermont,2144,4299,115,5797,13,5794,2017
51,Virginia,2847,6619,177,8722,8,8724,2017
53,Washington,4567,8485,188,12068,26,12013,2017
54,West Virginia,1865,3529,153,4989,13,5056,2017
55,Wisconsin,1957,3804,90,5223,11,5242,2017
56,Wyoming,1279,3138,72,4154,4,4162,2017
66,Guam,497,998,20,1379,1,1372,2017
72,Puerto Rico,992,3440,177,4073,25,4171,2017
1,Alabama,2452,4415,-1,-1,-1,-1,2016
2,Alaska,949,1893,-1,-1,-1,-1,2016
4,Arizona,3158,7643,-1,-1,-1,-1,2016
5,Arkansas,1600,3596,-1,-1,-1,-1,2016
6,California,3951,7355,-1,-1,-1,-1,2016
8,Colorado,4918,9801,-1,-1,-1,-1,2016
9,Connecticut,3358,7525,-1,-1,-1,-1,2016
10,Delaware,1098,2883,-1,-1,-1,-1,2016
11,District of Columbia,1224,2545,-1,-1,-1,-1,2016
12,Florida,10026,26139,-1,-1,-1,-1,2016
13,Georgia,1511,3764,-1,-1,-1,-1,2016
15,Hawaii,2388,5648,-1,-1,-1,-1,2016
16,Idaho,1711,3437,-1,-1,-1,-1,2016
17,Illinois,1588,3126,-1,-1,-1,-1,2016
18,Indiana,3468,7395,-1,-1,-1,-1,2016
19,Iowa,1916,5233,-1,-1,-1,-1,2016
20,Kansas,3342,8613,-1,-1,-1,-1,2016
21,Kentucky,3236,6872,-1,-1,-1,-1,2016
22,Louisiana,1743,3416,-1,-1,-1,-1,2016
23,Maine,3315,6558,-1,-1,-1,-1,2016
24,Maryland,5588,12647,-1,-1,-1,-1,2016
25,Massachusetts,2853,5347,-1,-1,-1,-1,2016
26,Michigan,4091,7777,-1,-1,-1,-1,2016
27,Minnesota,4923,11677,-1,-1,-1,-1,2016
28,Mississippi,1456,3516,-1,-1,-1,-1,2016
29,Missouri,2162,4845,-1,-1,-1,-1,2016
30,Montana,1640,4240,-1,-1,-1,-1,2016
31,Nebraska,4224,10811,-1,-1,-1,-1,2016
32,Nevada,1483,2791,-1,-1,-1,-1,2016
33,New Hampshire,1884,4454,-1,-1,-1,-1,2016
34,New Jersey,2131,5375,-1,-1,-1,-1,2016
35,New Mexico,1849,4105,-1,-1,-1,-1,2016
36,New York,10926,22579,-1,-1,-1,-1,2016
37,North Carolina,1986,4460,-1,-1,-1,-1,2016
38,North Dakota,1553,4100,-1,-1,-1,-1,2016
39,Ohio,3671,8532,-1,-1,-1,-1,2016
40,Oklahoma,2054,4727,-1,-1,-1,-1,2016
41,Oregon,2073,3256,-1,-1,-1,-1,2016
42,Pennsylvania,2462,4267,-1,-1,-1,-1,2016
44,Rhode Island,1785,3589,-1,-1,-1,-1,2016
45,South Carolina,3561,7479,-1,-1,-1,-1,2016
46,South Dakota,1480,4204,-1,-1,-1,-1,2016
47,Tennessee,1991,4047,-1,-1,-1,-1,2016
48,Texas,3283,8186,-1,-1,-1,-1,2016
49,Utah,3891,6938,-1,-1,-1,-1,2016
50,Vermont,2141,4312,-1,-1,-1,-1,2016
51,Virginia,2612,6250,-1,-1,-1,-1,2016
53,Washington,4815,9268,-1,-1,-1,-1,2016
54,West Virginia,2362,4676,-1,-1,-1,-1,2016
55,Wisconsin,1683,3545,-1,-1,-1,-1,2016
56,Wyoming,1207,3232,-1,-1,-1,-1,2016
66,Guam,472,1095,-1,-1,-1,-1,2016
72,Puerto Rico,1297,4416,-1,-1,-1,-1,2016
