FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_alcohol,p_have_no_alcohol,p_smoker,p_no_smoker
1,Alabama,2260,4311,3924,2356,5329,1143,2017,0.3439354740526556,0.6560645259473444,0.37515923566878984,0.6248407643312102,0.1766069221260816,0.8233930778739185
2,Alaska,987,2129,1328,1673,2545,539,2017,0.31675224646983313,0.6832477535301669,0.5574808397200933,0.4425191602799067,0.17477302204928663,0.8252269779507133
4,Arizona,4755,10514,6856,7465,12793,1977,2017,0.3114152858733381,0.6885847141266619,0.5212624816702744,0.47873751832972555,0.13385240352064998,0.86614759647935
5,Arkansas,1604,3631,3314,1684,4291,809,2017,0.3063992359121299,0.6936007640878701,0.33693477390956383,0.6630652260904362,0.15862745098039216,0.8413725490196079
6,California,3268,5999,3504,5004,7763,954,2017,0.352649185281105,0.647350814718895,0.5881523272214386,0.4118476727785614,0.10944132155558105,0.8905586784444189
8,Colorado,3373,6278,3369,5345,7817,1113,2017,0.34949746140296345,0.6505025385970366,0.613380766582511,0.3866192334174891,0.12463605823068309,0.8753639417693169
9,Connecticut,3146,7288,3600,6164,9008,1064,2017,0.3015142802376845,0.6984857197623155,0.631298648095043,0.368701351904957,0.10563939634630659,0.8943606036536934
10,Delaware,1216,2846,1857,1973,3365,594,2017,0.29935992122107336,0.7006400787789266,0.5151436031331593,0.48485639686684073,0.15003788835564535,0.8499621116443546
11,District of Columbia,1258,2533,1393,2157,3190,558,2017,0.33183856502242154,0.6681614349775785,0.6076056338028168,0.3923943661971831,0.14887940234791888,0.8511205976520811
12,Florida,6684,14953,10690,9703,17282,3753,2017,0.308915284004252,0.6910847159957481,0.47580051978620114,0.5241994802137988,0.1784169241739957,0.8215830758260043
13,Georgia,1753,4205,3043,2503,4873,853,2017,0.2942262504196039,0.7057737495803961,0.45131626397403535,0.5486837360259647,0.14896961229479566,0.8510303877052043
15,Hawaii,2396,5318,3430,3850,6532,890,2017,0.3106040964480166,0.6893959035519834,0.5288461538461539,0.47115384615384615,0.11991376987334951,0.8800862301266505
16,Idaho,1634,3174,2610,2061,4173,575,2017,0.3398502495840266,0.6601497504159733,0.441233140655106,0.558766859344894,0.12110362257792755,0.8788963774220725
17,Illinois,1946,3560,2172,3082,4652,693,2017,0.3534326189611333,0.6465673810388667,0.5866006851922345,0.41339931480776554,0.12965388213283444,0.8703461178671655
18,Indiana,4716,8853,6809,6136,10950,2311,2017,0.3475569312403272,0.6524430687596727,0.47400540749324066,0.5259945925067594,0.17427041701229168,0.8257295829877083
19,Iowa,2267,5340,3090,4187,6306,1131,2017,0.2980149861969239,0.7019850138030761,0.5753744675003436,0.42462553249965646,0.15207745058491326,0.8479225494150867
20,Kansas,6494,14941,9553,10449,17548,3145,2017,0.30296244459995336,0.6970375554000466,0.5223977602239775,0.4776022397760224,0.1519837626250423,0.8480162373749577
21,Kentucky,2987,5539,5162,2974,6596,1749,2017,0.35034013605442177,0.6496598639455783,0.36553588987217306,0.634464110127827,0.20958657878969442,0.7904134212103056
22,Louisiana,1743,2972,2244,2144,3630,904,2017,0.3696712619300106,0.6303287380699893,0.4886052871467639,0.5113947128532361,0.19938244375827086,0.8006175562417291
23,Maine,3304,6252,3691,5489,7975,1351,2017,0.3457513604018418,0.6542486395981583,0.5979302832244009,0.4020697167755991,0.14486382157409394,0.8551361784259061
24,Maryland,4055,9315,5650,6815,11429,1515,2017,0.3032909498878085,0.6967090501121914,0.5467308463698355,0.45326915363016446,0.11704264524103832,0.8829573547589616
