FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_fruit,p_have_no_fruit,p_have_vegetables,p_have_no_vegetables
1,Alabama,2260,4311,197,5944,8,6038,2017,0.3439354740526556,0.6560645259473444,0.967920534114965,0.03207946588503501,0.9986768111147867,0.0013231888852133643
2,Alaska,987,2129,61,2899,6,2900,2017,0.31675224646983313,0.6832477535301669,0.9793918918918919,0.02060810810810811,0.9979353062629044,0.0020646937370956643
4,Arizona,4755,10514,297,13658,33,13581,2017,0.3114152858733381,0.6885847141266619,0.978717305625224,0.021282694374776066,0.997576024680476,0.0024239753195240193
5,Arkansas,1604,3631,134,4626,6,4620,2017,0.3063992359121299,0.6936007640878701,0.9718487394957983,0.02815126050420168,0.9987029831387808,0.0012970168612191958
6,California,3268,5999,105,8231,11,8142,2017,0.352649185281105,0.647350814718895,0.9874040307101728,0.012595969289827254,0.9986508033852569,0.0013491966147430394
8,Colorado,3373,6278,130,8415,3,8349,2017,0.34949746140296345,0.6505025385970366,0.9847864248098304,0.015213575190169689,0.9996408045977011,0.00035919540229885057
9,Connecticut,3146,7288,183,9374,9,9360,2017,0.3015142802376845,0.6984857197623155,0.9808517317149733,0.019148268285026682,0.9990393852065321,0.0009606147934678194
10,Delaware,1216,2846,64,3624,9,3581,2017,0.29935992122107336,0.7006400787789266,0.982646420824295,0.01735357917570499,0.9974930362116992,0.0025069637883008357
11,District of Columbia,1258,2533,48,3441,1,3342,2017,0.33183856502242154,0.6681614349775785,0.9862424763542562,0.013757523645743766,0.9997008674842955,0.0002991325157044571
12,Florida,6684,14953,499,19379,61,19334,2017,0.308915284004252,0.6910847159957481,0.9748968709125666,0.025103129087433344,0.9968548594998711,0.003145140500128899
13,Georgia,1753,4205,128,5266,14,5206,2017,0.2942262504196039,0.7057737495803961,0.9762699295513534,0.023730070448646643,0.9973180076628353,0.0026819923371647508
15,Hawaii,2396,5318,112,7119,16,7121,2017,0.3106040964480166,0.6893959035519834,0.9845111326234269,0.015488867376573089,0.9977581616925879,0.002241838307412078
16,Idaho,1634,3174,74,4509,5,4520,2017,0.3398502495840266,0.6601497504159733,0.9838533711542657,0.016146628845734236,0.9988950276243094,0.0011049723756906078
17,Illinois,1946,3560,78,5118,11,5136,2017,0.3534326189611333,0.6465673810388667,0.9849884526558892,0.015011547344110854,0.9978628327180882,0.002137167281911793
