FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year,p_have_mentalhealth,p_have_no_mentalhealth,p_workout,p_no_workout
1,Alabama,2260,4311,2187,4043,2017,0.3439354740526556,0.6560645259473444,0.6489566613162119,0.3510433386837881
2,Alaska,987,2129,696,2300,2017,0.31675224646983313,0.6832477535301669,0.7676902536715621,0.23230974632843793
4,Arizona,4755,10514,3498,10546,2017,0.3114152858733381,0.6885847141266619,0.7509256622045002,0.24907433779549987
5,Arkansas,1604,3631,1769,3110,2017,0.3063992359121299,0.6936007640878701,0.6374257019881123,0.3625742980118877
6,California,3268,5999,1567,6659,2017,0.352649185281105,0.647350814718895,0.8095064429856552,0.19049355701434476
8,Colorado,3373,6278,1630,7041,2017,0.34949746140296345,0.6505025385970366,0.8120170683888824,0.1879829316111175
9,Connecticut,3146,7288,2203,7438,2017,0.3015142802376845,0.6984857197623155,0.7714967327040764,0.22850326729592366
10,Delaware,1216,2846,1215,2588,2017,0.29935992122107336,0.7006400787789266,0.68051538259269,0.31948461740731005
11,District of Columbia,1258,2533,961,2770,2017,0.33183856502242154,0.6681614349775785,0.7424283034039132,0.25757169659608686
12,Florida,6684,14953,6487,13778,2017,0.308915284004252,0.6910847159957481,0.6798914384406612,0.32010856155933876
13,Georgia,1753,4205,1827,3671,2017,0.2942262504196039,0.7057737495803961,0.667697344488905,0.33230265551109495
15,Hawaii,2396,5318,1545,5625,2017,0.3106040964480166,0.6893959035519834,0.7845188284518828,0.21548117154811716
16,Idaho,1634,3174,1170,3414,2017,0.3398502495840266,0.6601497504159733,0.7447643979057592,0.25523560209424084
17,Illinois,1946,3560,1262,3893,2017,0.3534326189611333,0.6465673810388667,0.7551891367604268,0.24481086323957324
18,Indiana,4716,8853,3911,8797,2017,0.3475569312403272,0.6524430687596727,0.6922411079634876,0.3077588920365124
19,Iowa,2267,5340,1834,5311,2017,0.2980149861969239,0.7019850138030761,0.7433170048985305,0.2566829951014696
20,Kansas,6494,14941,5721,14188,2017,0.30296244459995336,0.6970375554000466,0.7126425234818424,0.28735747651815763
21,Kentucky,2987,5539,2921,5127,2017,0.35034013605442177,0.6496598639455783,0.6370526838966203,0.3629473161033797
22,Louisiana,1743,2972,1374,2902,2017,0.3696712619300106,0.6303287380699893,0.6786716557530402,0.3213283442469598
23,Maine,3304,6252,2235,6873,2017,0.3457513604018418,0.6542486395981583,0.7546113306982872,0.24538866930171277
24,Maryland,4055,9315,3239,9064,2017,0.3032909498878085,0.6967090501121914,0.7367308786474843,0.2632691213525156
25,Massachusetts,2394,4365,1500,4961,2017,0.35419440745672437,0.6458055925432756,0.7678377960068101,0.2321622039931899
26,Michigan,3874,6885,2648,7644,2017,0.36007063853517984,0.6399293614648202,0.7427127866303925,0.25728721336960747
27,Minnesota,4988,11882,4083,11819,2017,0.2956727919383521,0.704327208061648,0.7432398440447743,0.2567601559552258
28,Mississippi,1660,3284,1535,3031,2017,0.33576051779935273,0.6642394822006472,0.6638195356986422,0.33618046430135784
29,Missouri,2331,5170,2259,4962,2017,0.31075856552459674,0.6892414344754033,0.6871624428749481,0.31283755712505196
30,Montana,1708,4113,1605,4066,2017,0.2934203745060986,0.7065796254939014,0.7169811320754716,0.2830188679245283
31,Nebraska,4399,10780,4076,10220,2017,0.2898082877659925,0.7101917122340075,0.7148852825965305,0.2851147174034695
32,Nevada,1211,2510,912,2658,2017,0.3254501478097286,0.6745498521902714,0.7445378151260504,0.25546218487394956
33,New Hampshire,1750,3924,1297,3991,2017,0.30842439196334154,0.6915756080366584,0.7547276853252648,0.24527231467473526
34,New Jersey,3509,7995,3199,7634,2017,0.30502433936022255,0.6949756606397774,0.7046986061109572,0.29530139388904275
35,New Mexico,2184,4286,1539,4425,2017,0.3375579598145286,0.6624420401854714,0.7419517102615694,0.2580482897384306
36,New York,4123,7842,2924,8059,2017,0.34458838278311743,0.6554116172168826,0.7337703723936994,0.26622962760630065
