FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_internet,internet,year,p_have_mentalhealth,p_have_no_mentalhealth,p_internet,p_no_internet
1,Alabama,2260,4311,1789,4858,2017,0.3439354740526556,0.6560645259473444,0.73085602527456,0.26914397472544005
2,Alaska,987,2129,461,2713,2017,0.31675224646983313,0.6832477535301669,0.8547574039067423,0.1452425960932577
4,Arizona,4755,10514,2346,12938,2017,0.3114152858733381,0.6885847141266619,0.8465061502224549,0.15349384977754515
5,Arkansas,1604,3631,1598,3665,2017,0.3063992359121299,0.6936007640878701,0.6963708911267338,0.3036291088732662
6,California,3268,5999,1256,7894,2017,0.352649185281105,0.647350814718895,0.8627322404371585,0.13726775956284154
8,Colorado,3373,6278,1034,8667,2017,0.34949746140296345,0.6505025385970366,0.8934130502010103,0.10658694979898979
9,Connecticut,3146,7288,1436,9002,2017,0.3015142802376845,0.6984857197623155,0.8624257520597816,0.13757424794021844
10,Delaware,1216,2846,804,3287,2017,0.29935992122107336,0.7006400787789266,0.8034710339770227,0.19652896602297726
11,District of Columbia,1258,2533,688,3156,2017,0.33183856502242154,0.6681614349775785,0.8210197710718002,0.17898022892819979
12,Florida,6684,14953,4616,17031,2017,0.308915284004252,0.6910847159957481,0.786760290109484,0.213239709890516
13,Georgia,1753,4205,1354,4565,2017,0.2942262504196039,0.7057737495803961,0.7712451427606014,0.22875485723939853
15,Hawaii,2396,5318,1222,6372,2017,0.3106040964480166,0.6893959035519834,0.8390834869633922,0.16091651303660784
16,Idaho,1634,3174,763,4094,2017,0.3398502495840266,0.6601497504159733,0.8429071443277744,0.15709285567222567
17,Illinois,1946,3560,954,4518,2017,0.3534326189611333,0.6465673810388667,0.8256578947368421,0.17434210526315788
18,Indiana,4716,8853,2838,10802,2017,0.3475569312403272,0.6524430687596727,0.7919354838709678,0.20806451612903226
19,Iowa,2267,5340,1274,6360,2017,0.2980149861969239,0.7019850138030761,0.8331150117893634,0.16688498821063663
20,Kansas,6494,14941,3089,18236,2017,0.30296244459995336,0.6970375554000466,0.8551465416178194,0.14485345838218053
21,Kentucky,2987,5539,1921,6655,2017,0.35034013605442177,0.6496598639455783,0.7760027985074627,0.22399720149253732
22,Louisiana,1743,2972,1031,3661,2017,0.3696712619300106,0.6303287380699893,0.7802642796248934,0.21973572037510655
23,Maine,3304,6252,1450,8182,2017,0.3457513604018418,0.6542486395981583,0.8494601328903655,0.15053986710963455
24,Maryland,4055,9315,2180,11240,2017,0.3032909498878085,0.6967090501121914,0.8375558867362146,0.16244411326378538
25,Massachusetts,2394,4365,977,5863,2017,0.35419440745672437,0.6458055925432756,0.8571637426900585,0.1428362573099415
26,Michigan,3874,6885,1690,9068,2017,0.36007063853517984,0.6399293614648202,0.8429076036437999,0.15709239635620004
27,Minnesota,4988,11882,2489,14463,2017,0.2956727919383521,0.704327208061648,0.8531736668239736,0.14682633317602642
28,Mississippi,1660,3284,1471,3491,2017,0.33576051779935273,0.6642394822006472,0.7035469568722289,0.29645304312777104
29,Missouri,2331,5170,1649,5885,2017,0.31075856552459674,0.6892414344754033,0.7811255641093708,0.21887443589062916
30,Montana,1708,4113,1233,4658,2017,0.2934203745060986,0.7065796254939014,0.7906976744186046,0.20930232558139536
31,Nebraska,4399,10780,3091,12098,2017,0.2898082877659925,0.7101917122340075,0.7964974652709197,0.20350253472908025
32,Nevada,1211,2510,617,3121,2017,0.3254501478097286,0.6745498521902714,0.8349384697699305,0.16506153023006956
33,New Hampshire,1750,3924,781,4893,2017,0.30842439196334154,0.6915756080366584,0.862354599929503,0.137645400070497
34,New Jersey,3509,7995,2097,9503,2017,0.30502433936022255,0.6949756606397774,0.8192241379310344,0.1807758620689655
35,New Mexico,2184,4286,1606,4823,2017,0.3375579598145286,0.6624420401854714,0.7501944314823457,0.24980556851765437
36,New York,4123,7842,2268,9702,2017,0.34458838278311743,0.6554116172168826,0.8105263157894737,0.18947368421052632
37,North Carolina,1533,3315,997,3847,2017,0.3162128712871287,0.6837871287128713,0.7941783649876135,0.20582163501238646
