FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year,p_have_mentalhealth,p_have_no_mentalhealth,p_highschool,p_no_highschool
1,Alabama,2260,4311,800,5934,2017,0.3439354740526556,0.6560645259473444,0.8811998811998812,0.1188001188001188
2,Alaska,987,2129,204,2979,2017,0.31675224646983313,0.6832477535301669,0.9359095193213949,0.0640904806786051
4,Arizona,4755,10514,1000,14422,2017,0.3114152858733381,0.6885847141266619,0.935157567111918,0.06484243288808196
5,Arkansas,1604,3631,481,4824,2017,0.3063992359121299,0.6936007640878701,0.9093308199811498,0.09066918001885015
6,California,3268,5999,1152,8179,2017,0.352649185281105,0.647350814718895,0.8765405637123567,0.12345943628764335
8,Colorado,3373,6278,507,9255,2017,0.34949746140296345,0.6505025385970366,0.9480639213275968,0.0519360786724032
9,Connecticut,3146,7288,500,10031,2017,0.3015142802376845,0.6984857197623155,0.9525211280979964,0.04747887190200361
10,Delaware,1216,2846,444,3670,2017,0.29935992122107336,0.7006400787789266,0.8920758385999028,0.10792416140009722
11,District of Columbia,1258,2533,208,3643,2017,0.33183856502242154,0.6681614349775785,0.9459880550506362,0.0540119449493638
12,Florida,6684,14953,2389,19571,2017,0.308915284004252,0.6910847159957481,0.8912112932604735,0.10878870673952641
13,Georgia,1753,4205,696,5332,2017,0.2942262504196039,0.7057737495803961,0.8845388188453882,0.1154611811546118
15,Hawaii,2396,5318,287,7455,2017,0.3106040964480166,0.6893959035519834,0.9629294755877035,0.037070524412296565
16,Idaho,1634,3174,317,4548,2017,0.3398502495840266,0.6601497504159733,0.9348406988694759,0.06515930113052415
17,Illinois,1946,3560,366,5171,2017,0.3534326189611333,0.6465673810388667,0.9338992234061766,0.06610077659382337
18,Indiana,4716,8853,1073,12724,2017,0.3475569312403272,0.6524430687596727,0.9222294701746756,0.07777052982532434
19,Iowa,2267,5340,369,7301,2017,0.2980149861969239,0.7019850138030761,0.951890482398957,0.048109517601043025
20,Kansas,6494,14941,951,20825,2017,0.30296244459995336,0.6970375554000466,0.9563280675973549,0.043671932402645115
21,Kentucky,2987,5539,805,7816,2017,0.35034013605442177,0.6496598639455783,0.9066233615589839,0.09337663844101612
22,Louisiana,1743,2972,475,4326,2017,0.3696712619300106,0.6303287380699893,0.9010622786919392,0.09893772130806082
23,Maine,3304,6252,428,9238,2017,0.3457513604018418,0.6542486395981583,0.9557210842127043,0.044278915787295675
24,Maryland,4055,9315,696,12815,2017,0.3032909498878085,0.6967090501121914,0.9484864184738361,0.051513581526163865
25,Massachusetts,2394,4365,345,6524,2017,0.35419440745672437,0.6458055925432756,0.9497743485223468,0.050225651477653226
26,Michigan,3874,6885,522,10328,2017,0.36007063853517984,0.6399293614648202,0.951889400921659,0.04811059907834101
27,Minnesota,4988,11882,740,16272,2017,0.2956727919383521,0.704327208061648,0.9565012932047966,0.04349870679520339
28,Mississippi,1660,3284,547,4509,2017,0.33576051779935273,0.6642394822006472,0.8918117088607594,0.1081882911392405
29,Missouri,2331,5170,649,6932,2017,0.31075856552459674,0.6892414344754033,0.9143912412610473,0.08560875873895264
30,Montana,1708,4113,368,5527,2017,0.2934203745060986,0.7065796254939014,0.9375742154368109,0.062425784563189146
31,Nebraska,4399,10780,991,14334,2017,0.2898082877659925,0.7101917122340075,0.9353344208809136,0.06466557911908646
32,Nevada,1211,2510,314,3437,2017,0.3254501478097286,0.6745498521902714,0.9162889896027726,0.0837110103972274
33,New Hampshire,1750,3924,249,5482,2017,0.30842439196334154,0.6915756080366584,0.9565520851509335,0.04344791484906648
34,New Jersey,3509,7995,772,10891,2017,0.30502433936022255,0.6949756606397774,0.9338077681557061,0.06619223184429392
35,New Mexico,2184,4286,744,5782,2017,0.3375579598145286,0.6624420401854714,0.8859944836040453,0.11400551639595465
36,New York,4123,7842,1140,11026,2017,0.34458838278311743,0.6554116172168826,0.9062962354101595,0.09370376458984053
37,North Carolina,1533,3315,510,4390,2017,0.3162128712871287,0.6837871287128713,0.8959183673469387,0.10408163265306122
38,North Dakota,1999,4889,398,6575,2017,0.2902148664343786,0.7097851335656213,0.9429227018499928,0.05707729815000717
39,Ohio,3919,8152,792,11455,2017,0.32466241405020296,0.675337585949797,0.9353311014942435,0.06466889850575651
40,Oklahoma,2056,4432,492,6128,2017,0.31689272503082616,0.6831072749691739,0.9256797583081571,0.0743202416918429
41,Oregon,2049,3226,298,5045,2017,0.388436018957346,0.6115639810426541,0.9442260902114916,0.05577390978850833
42,Pennsylvania,2407,4070,334,6189,2017,0.37162266481395706,0.6283773351860429,0.9487965659972405,0.051203434002759465
44,Rhode Island,1839,3735,350,5259,2017,0.32992465016146394,0.670075349838536,0.9376002852558388,0.06239971474416117
45,South Carolina,3521,7506,1167,10091,2017,0.319307155164596,0.680692844835404,0.8963403801740985,0.10365961982590158
46,South Dakota,1830,5080,498,6504,2017,0.26483357452966716,0.7351664254703328,0.9288774635818338,0.07112253641816624
47,Tennessee,1937,3767,579,5245,2017,0.33958625525946706,0.6604137447405329,0.9005837912087912,0.09941620879120878
48,Texas,3693,8319,1528,10672,2017,0.30744255744255744,0.6925574425574426,0.8747540983606558,0.12524590163934426
49,Utah,3771,6344,472,9736,2017,0.3728126544735541,0.6271873455264458,0.9537617554858934,0.04623824451410658
50,Vermont,2144,4299,257,6228,2017,0.3327642402607481,0.6672357597392519,0.9603700848111025,0.039629915188897455
51,Virginia,2847,6619,660,8935,2017,0.3007606169448553,0.6992393830551448,0.9312141740489839,0.06878582595101615
53,Washington,4567,8485,756,12462,2017,0.34990806006742264,0.6500919399325774,0.9428052655469814,0.05719473445301861
54,West Virginia,1865,3529,606,4854,2017,0.3457545420837968,0.6542454579162031,0.889010989010989,0.11098901098901098
55,Wisconsin,1957,3804,270,5516,2017,0.3396979691025864,0.6603020308974137,0.9533356377462842,0.04666436225371587
56,Wyoming,1279,3138,198,4257,2017,0.28956305184514375,0.7104369481548563,0.9555555555555556,0.044444444444444446
66,Guam,497,998,135,1370,2017,0.33244147157190634,0.6675585284280936,0.9102990033222591,0.08970099667774087
72,Puerto Rico,992,3440,858,3608,2017,0.22382671480144403,0.776173285198556,0.8078817733990148,0.1921182266009852
1,Alabama,2452,4415,786,6226,2016,0.35707004514343965,0.6429299548565603,0.887906446092413,0.11209355390758699
2,Alaska,949,1893,165,2736,2016,0.33391977480647433,0.6660802251935257,0.9431230610134437,0.05687693898655636
4,Arizona,3158,7643,723,10188,2016,0.2923803351541524,0.7076196648458476,0.9337365960956833,0.06626340390431674
5,Arkansas,1600,3596,526,4758,2016,0.30792917628945343,0.6920708237105466,0.9004542013626041,0.09954579863739592
6,California,3951,7355,1494,9819,2016,0.3494604634707235,0.6505395365292765,0.86793953858393,0.13206046141607
8,Colorado,4918,9801,875,14027,2016,0.33412595964399755,0.6658740403560024,0.9412830492551335,0.058716950744866464
9,Connecticut,3358,7525,540,10465,2016,0.30855462648166865,0.6914453735183314,0.9509313948205361,0.04906860517946388
10,Delaware,1098,2883,401,3640,2016,0.27581009796533534,0.7241899020346647,0.900767136847315,0.09923286315268498
11,District of Columbia,1224,2545,219,3608,2016,0.32475457681082515,0.6752454231891748,0.942775019597596,0.05722498040240397
