FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year
1,Alabama,2260,4311,2187,4043,2017
2,Alaska,987,2129,696,2300,2017
4,Arizona,4755,10514,3498,10546,2017
5,Arkansas,1604,3631,1769,3110,2017
6,California,3268,5999,1567,6659,2017
8,Colorado,3373,6278,1630,7041,2017
9,Connecticut,3146,7288,2203,7438,2017
10,Delaware,1216,2846,1215,2588,2017
11,District of Columbia,1258,2533,961,2770,2017
12,Florida,6684,14953,6487,13778,2017
13,Georgia,1753,4205,1827,3671,2017
15,Hawaii,2396,5318,1545,5625,2017
16,Idaho,1634,3174,1170,3414,2017
17,Illinois,1946,3560,1262,3893,2017
18,Indiana,4716,8853,3911,8797,2017
19,Iowa,2267,5340,1834,5311,2017
20,Kansas,6494,14941,5721,14188,2017
21,Kentucky,2987,5539,2921,5127,2017
22,Louisiana,1743,2972,1374,2902,2017
23,Maine,3304,6252,2235,6873,2017
24,Maryland,4055,9315,3239,9064,2017
25,Massachusetts,2394,4365,1500,4961,2017
26,Michigan,3874,6885,2648,7644,2017
27,Minnesota,4988,11882,4083,11819,2017
28,Mississippi,1660,3284,1535,3031,2017
29,Missouri,2331,5170,2259,4962,2017
30,Montana,1708,4113,1605,4066,2017
31,Nebraska,4399,10780,4076,10220,2017
32,Nevada,1211,2510,912,2658,2017
33,New Hampshire,1750,3924,1297,3991,2017
34,New Jersey,3509,7995,3199,7634,2017
35,New Mexico,2184,4286,1539,4425,2017
36,New York,4123,7842,2924,8059,2017
37,North Carolina,1533,3315,1246,3365,2017
38,North Dakota,1999,4889,1930,4634,2017
39,Ohio,3919,8152,3721,7796,2017
40,Oklahoma,2056,4432,2091,4036,2017
41,Oregon,2049,3226,1004,3906,2017
42,Pennsylvania,2407,4070,1460,4638,2017
44,Rhode Island,1839,3735,1336,3805,2017
45,South Carolina,3521,7506,3134,7394,2017
46,South Dakota,1830,5080,1761,4892,2017
47,Tennessee,1937,3767,1673,3599,2017
48,Texas,3693,8319,3548,7594,2017
49,Utah,3771,6344,2141,7673,2017
50,Vermont,2144,4299,1261,4701,2017
51,Virginia,2847,6619,2349,6674,2017
53,Washington,4567,8485,2421,9962,2017
54,West Virginia,1865,3529,1726,3560,2017
55,Wisconsin,1957,3804,1183,4075,2017
56,Wyoming,1279,3138,1164,3118,2017
66,Guam,497,998,436,948,2017
72,Puerto Rico,992,3440,2369,2052,2017
1,Alabama,2452,4415,2178,4835,2016
2,Alaska,949,1893,593,2317,2016
4,Arizona,3158,7643,2809,8112,2016
5,Arkansas,1600,3596,1893,3392,2016
6,California,3951,7355,2231,9155,2016
8,Colorado,4918,9801,2470,12468,2016
9,Connecticut,3358,7525,2376,8657,2016
10,Delaware,1098,2883,1197,2856,2016
11,District of Columbia,1224,2545,718,3125,2016
12,Florida,10026,26139,12248,24620,2016
13,Georgia,1511,3764,1703,3669,2016
15,Hawaii,2388,5648,1566,6520,2016
16,Idaho,1711,3437,1233,4016,2016
17,Illinois,1588,3126,1171,3591,2016
18,Indiana,3468,7395,3207,7835,2016
19,Iowa,1916,5233,1823,5429,2016
20,Kansas,3342,8613,3023,9134,2016
21,Kentucky,3236,6872,3124,7129,2016
22,Louisiana,1743,3416,1671,3579,2016
23,Maine,3315,6558,2109,7895,2016
24,Maryland,5588,12647,4572,13876,2016
25,Massachusetts,2853,5347,1758,6635,2016
26,Michigan,4091,7777,2827,9188,2016
27,Minnesota,4923,11677,3109,13689,2016
28,Mississippi,1456,3516,1695,3432,2016
29,Missouri,2162,4845,2055,5063,2016
30,Montana,1640,4240,1362,4602,2016
31,Nebraska,4224,10811,3968,11201,2016
32,Nevada,1483,2791,1045,3296,2016
33,New Hampshire,1884,4454,1418,4994,2016
34,New Jersey,2131,5375,2337,5295,2016
35,New Mexico,1849,4105,1378,4642,2016
36,New York,10926,22579,8966,25150,2016
37,North Carolina,1986,4460,1602,4926,2016
38,North Dakota,1553,4100,1408,4321,2016
39,Ohio,3671,8532,3740,8626,2016
40,Oklahoma,2054,4727,2161,4751,2016
41,Oregon,2073,3256,903,4523,2016
42,Pennsylvania,2462,4267,1538,5263,2016
44,Rhode Island,1785,3589,1398,4044,2016
45,South Carolina,3561,7479,3311,7908,2016
46,South Dakota,1480,4204,1156,4606,2016
47,Tennessee,1991,4047,1874,4285,2016
48,Texas,3283,8186,3370,8318,2016
49,Utah,3891,6938,1967,9008,2016
50,Vermont,2141,4312,1333,5192,2016
51,Virginia,2612,6250,2170,6818,2016
53,Washington,4815,9268,2524,11704,2016
54,West Virginia,2362,4676,2048,5097,2016
55,Wisconsin,1683,3545,1137,4133,2016
56,Wyoming,1207,3232,1176,3307,2016
66,Guam,472,1095,428,1150,2016
72,Puerto Rico,1297,4416,2475,3315,2016
1,Alabama,2579,5206,2418,4851,2015
2,Alaska,1196,2372,772,2648,2015
4,Arizona,2366,5425,1727,5439,2015
5,Arkansas,1545,3574,1769,2958,2015
6,California,4477,8022,2111,8793,2015
8,Colorado,4322,8977,2215,9577,2015
9,Connecticut,3789,7943,2475,8106,2015
10,Delaware,1154,2844,1148,2626,2015
11,District of Columbia,1109,2804,744,2797,2015
12,Florida,2894,6607,2265,6421,2015
13,Georgia,1352,3225,1227,2998,2015
15,Hawaii,2037,5085,1437,5064,2015
16,Idaho,1860,3840,1255,4105,2015
17,Illinois,1888,3346,1288,3636,2015
18,Indiana,1939,4011,1639,3914,2015
19,Iowa,1687,4442,1596,4151,2015
20,Kansas,6212,16644,5698,15153,2015
21,Kentucky,2787,5864,2765,5305,2015
22,Louisiana,1529,3102,1457,2779,2015
23,Maine,2908,5996,2131,6397,2015
24,Maryland,3577,8805,3006,8387,2015
25,Massachusetts,3149,5935,2116,5989,2015
26,Michigan,3000,5834,2034,6357,2015
27,Minnesota,4725,11805,3432,12197,2015
28,Mississippi,1642,4287,2235,3480,2015
29,Missouri,2201,4989,2048,4803,2015
30,Montana,1639,4321,1445,4312,2015
31,Nebraska,4588,12781,4607,11712,2015
32,Nevada,986,1885,668,2070,2015
33,New Hampshire,2007,4893,1527,4867,2015
34,New Jersey,3200,8032,2889,7597,2015
35,New Mexico,2062,4589,1502,4618,2015
36,New York,4015,8021,3125,7844,2015
37,North Carolina,1970,4638,1671,4607,2015
38,North Dakota,1363,3519,1305,3328,2015
39,Ohio,3558,8143,3281,7682,2015
40,Oklahoma,2025,4816,2246,4235,2015
41,Oregon,1936,3304,876,3943,2015
42,Pennsylvania,1897,3749,1439,3826,2015
44,Rhode Island,1960,4107,1534,3964,2015
45,South Carolina,3602,7746,2978,7797,2015
46,South Dakota,1792,5327,1597,5263,2015
47,Tennessee,1842,4024,1710,3679,2015
48,Texas,3943,10420,4031,8907,2015
49,Utah,4079,7167,2228,8381,2015
50,Vermont,1962,4430,1277,4729,2015
51,Virginia,2327,6169,2075,6039,2015
53,Washington,5236,10650,2849,12164,2015
54,West Virginia,1880,3982,1769,3943,2015
55,Wisconsin,1975,4160,1290,4244,2015
56,Wyoming,1505,3893,1406,3634,2015
66,Guam,520,1143,470,1044,2015
72,Puerto Rico,1179,4183,2641,2660,2015
1,Alabama,2906,5568,2583,6056,2014
2,Alaska,1358,2933,815,3563,2014
4,Arizona,4180,10453,3345,11484,2014
5,Arkansas,1559,3566,1832,3418,2014
6,California,2987,5771,1637,6185,2014
8,Colorado,4134,9053,2252,11131,2014
9,Connecticut,2428,5410,1657,6286,2014
10,Delaware,1162,3041,1153,3140,2014
11,District of Columbia,1099,2894,849,3210,2014
12,Florida,2773,6771,2403,7393,2014
13,Georgia,1974,4267,1656,4691,2014
15,Hawaii,2017,5176,1430,5815,2014
16,Idaho,1744,3622,1131,4337,2014
17,Illinois,1732,3279,1205,3845,2014
18,Indiana,3657,7599,3201,8309,2014
19,Iowa,2196,5811,2045,6076,2014
20,Kansas,3650,9850,3490,10237,2014
21,Kentucky,3417,7605,3563,7626,2014
22,Louisiana,2115,4529,2110,4662,2014
23,Maine,2983,5963,1941,7177,2014
24,Maryland,3672,8686,2868,9688,2014
25,Massachusetts,4915,10416,3415,12217,2014
26,Michigan,2749,5587,2065,6390,2014
27,Minnesota,4638,11551,3323,13072,2014
28,Mississippi,1131,2993,1396,2807,2014
29,Missouri,2049,4921,2033,5043,2014
30,Montana,2078,5283,1653,5840,2014
31,Nebraska,5764,16368,5557,16840,2014
32,Nevada,1230,2458,844,2910,2014
33,New Hampshire,1768,4323,1319,4855,2014
34,New Jersey,3795,9000,3134,9891,2014
35,New Mexico,2626,6206,2101,6826,2014
36,New York,2200,4473,1723,5122,2014
37,North Carolina,2068,5114,1788,5493,2014
38,North Dakota,2034,5601,1824,5940,2014
39,Ohio,3504,7204,3067,7837,2014
40,Oklahoma,2538,5800,2659,5785,2014
41,Oregon,1824,3313,895,4319,2014
42,Pennsylvania,3461,7283,2786,8191,2014
44,Rhode Island,1947,4396,1586,4850,2014
45,South Carolina,3393,7406,2922,8087,2014
46,South Dakota,1772,5532,1631,5768,2014
47,Tennessee,1555,3477,1616,3523,2014
48,Texas,3993,11016,4262,11132,2014
49,Utah,5187,9665,2550,12443,2014
50,Vermont,2044,4357,1232,5226,2014
51,Virginia,2467,6845,2330,7122,2014
53,Washington,3254,6710,1804,8270,2014
54,West Virginia,1948,4149,1822,4368,2014
55,Wisconsin,2169,4826,1554,5482,2014
56,Wyoming,1671,4633,1696,4700,2014
66,Guam,798,1699,656,1862,2014
72,Puerto Rico,1258,4679,2517,3471,2014
1,Alabama,2131,4203,2077,4087,2013
2,Alaska,1426,3079,981,3294,2013
4,Arizona,1314,2866,1048,2862,2013
5,Arkansas,1616,3523,1777,3094,2013
6,California,4090,7320,2099,8091,2013
8,Colorado,4262,9191,2302,10068,2013
9,Connecticut,2456,5136,1768,5353,2013
10,Delaware,1573,3561,1447,3479,2013
11,District of Columbia,1405,3427,855,3574,2013
12,Florida,10129,23098,9343,22184,2013
13,Georgia,2383,5599,2110,5271,2013
15,Hawaii,2121,5662,1513,5855,2013
16,Idaho,1823,3700,1282,3978,2013
17,Illinois,1904,3660,1409,3896,2013
18,Indiana,3253,6835,3087,6497,2013
19,Iowa,2139,5919,2257,5421,2013
20,Kansas,6341,16631,6085,16092,2013
21,Kentucky,3734,7117,3279,6877,2013
22,Louisiana,1557,3590,1728,3298,2013
23,Maine,2556,5394,1843,5881,2013
24,Maryland,3794,8985,3367,8894,2013
25,Massachusetts,5097,9695,3532,10000,2013
26,Michigan,4171,8430,3067,9147,2013
27,Minnesota,4067,10091,2901,10422,2013
28,Mississippi,2117,5181,2837,4172,2013
29,Missouri,2127,4901,2082,4711,2013
30,Montana,2912,6654,2355,6863,2013
31,Nebraska,4516,12373,4446,11712,2013
32,Nevada,1662,3341,1182,3617,2013
33,New Hampshire,1891,4487,1374,4636,2013
34,New Jersey,3991,9005,3184,8865,2013
35,New Mexico,2800,6364,2149,6363,2013
36,New York,2912,5818,2172,5992,2013
37,North Carolina,2507,6195,2412,5989,2013
38,North Dakota,2111,5506,2165,5215,2013
39,Ohio,3620,8131,3367,7750,2013
40,Oklahoma,2502,5612,2759,5072,2013
41,Oregon,2149,3712,965,4442,2013
42,Pennsylvania,3683,7510,2933,7631,2013
44,Rhode Island,2058,4370,1619,4303,2013
45,South Carolina,3218,7283,2812,7255,2013
46,South Dakota,1717,5101,1663,4890,2013
47,Tennessee,1622,4081,2044,3152,2013
48,Texas,2805,7799,3151,6949,2013
49,Utah,4544,8047,2536,9401,2013
50,Vermont,2004,4299,1324,4662,2013
51,Virginia,2403,5908,2045,5722,2013
53,Washington,3742,7276,2131,8603,2013
54,West Virginia,1835,3963,1883,3886,2013
55,Wisconsin,2096,4429,1510,4313,2013
56,Wyoming,1744,4612,1600,4455,2013
66,Guam,616,1263,513,1215,2013
72,Puerto Rico,1402,4557,2944,2978,2013
1,Alabama,3217,5606,2699,6315,2012
2,Alaska,1250,3005,871,3465,2012
4,Arizona,2281,4907,1738,5547,2012
5,Arkansas,1755,3305,1750,3424,2012
6,California,5223,9272,2643,11028,2012
8,Colorado,3921,8180,2117,10122,2012
9,Connecticut,2873,5759,2030,6730,2012
10,Delaware,1581,3561,1267,3905,2012
11,District of Columbia,1164,2576,748,3069,2012
12,Florida,2421,4993,1892,5721,2012
13,Georgia,1802,4194,1682,4409,2012
15,Hawaii,2174,5326,1356,6224,2012
16,Idaho,1933,3836,1341,4548,2012
17,Illinois,1923,3631,1379,4199,2012
18,Indiana,3049,5413,2462,6166,2012
19,Iowa,1943,5129,1795,5365,2012
20,Kansas,3168,8465,2811,8982,2012
21,Kentucky,3888,7110,3732,7469,2012
22,Louisiana,2700,6234,3109,5953,2012
23,Maine,3352,6407,2145,7760,2012
24,Maryland,3715,8834,3127,9671,2012
25,Massachusetts,7228,14121,5024,16667,2012
26,Michigan,3536,6842,2544,7946,2012
27,Minnesota,3634,8444,2241,9985,2012
28,Mississippi,2245,5376,2617,5164,2012
29,Missouri,2040,4609,1891,4860,2012
30,Montana,2710,5824,2071,6598,2012
31,Nebraska,5412,13523,4779,14374,2012
32,Nevada,1658,3101,1061,3776,2012
33,New Hampshire,2319,5105,1679,5829,2012
34,New Jersey,4574,10828,4178,11554,2012
35,New Mexico,2870,5804,2023,6750,2012
36,New York,2135,3765,1501,4544,2012
37,North Carolina,3504,8178,3248,8641,2012
38,North Dakota,1387,3389,1220,3653,2012
39,Ohio,4120,8667,3663,9333,2012
40,Oklahoma,2529,5378,2549,5465,2012
41,Oregon,1834,3362,918,4374,2012
42,Pennsylvania,6351,13185,5102,14810,2012
44,Rhode Island,1860,3531,1366,4099,2012
45,South Carolina,3946,8552,3507,9270,2012
46,South Dakota,2006,5743,1865,6009,2012
47,Tennessee,1932,4976,2292,4756,2012
48,Texas,2853,6080,2462,6651,2012
49,Utah,4266,7952,2299,10104,2012
50,Vermont,1969,4005,1189,4859,2012
51,Virginia,2005,5241,1732,5656,2012
53,Washington,5249,9875,3005,12300,2012
54,West Virginia,1677,3649,1751,3657,2012
55,Wisconsin,1655,3582,1203,4087,2012
56,Wyoming,1776,4401,1573,4687,2012
66,Guam,560,1429,548,1483,2012
72,Puerto Rico,1353,4883,2745,3575,2012
1,Alabama,2592,4967,2614,4856,2011
2,Alaska,1079,2343,776,2573,2011
4,Arizona,2106,4305,1541,4656,2011
5,Arkansas,1526,3091,1557,2892,2011
6,California,6449,11453,3195,13732,2011
8,Colorado,4103,9255,2251,10549,2011
9,Connecticut,2246,4497,1661,4927,2011
10,Delaware,1391,3357,1309,3419,2011
11,District of Columbia,1417,3077,871,3485,2011
12,Florida,3909,8113,3255,8309,2011
13,Georgia,2849,6818,2727,6739,2011
15,Hawaii,2081,5453,1533,5849,2011
16,Idaho,1990,3990,1299,4485,2011
17,Illinois,1973,3465,1426,3866,2011
18,Indiana,2786,5463,2534,5470,2011
19,Iowa,1922,5323,1903,5133,2011
20,Kansas,5755,14666,5740,14532,2011
21,Kentucky,3676,6985,3282,6815,2011
22,Louisiana,3372,7387,3803,6805,2011
23,Maine,4407,8572,3035,9764,2011
24,Maryland,2903,7032,2536,7148,2011
25,Massachusetts,6998,14751,5313,15321,2011
26,Michigan,3633,7282,2653,8119,2011
27,Minnesota,4671,10389,3095,11544,2011
28,Mississippi,2687,6067,3133,5407,2011
29,Missouri,1882,4420,1892,4242,2011
30,Montana,3240,6842,2532,7307,2011
31,Nebraska,7425,17611,7134,17299,2011
32,Nevada,1731,3675,1134,3966,2011
33,New Hampshire,2001,4260,1422,4746,2011
34,New Jersey,4553,10180,3840,10354,2011
35,New Mexico,2962,6320,2303,6561,2011
36,New York,2602,4900,1849,5427,2011
37,North Carolina,3299,8019,3077,8053,2011
38,North Dakota,1528,3666,1426,3616,2011
39,Ohio,3175,6567,2740,6732,2011
40,Oklahoma,2807,5579,2819,5464,2011
41,Oregon,2038,4085,1108,4791,2011
42,Pennsylvania,3895,7339,2988,7891,2011
44,Rhode Island,2226,4212,1667,4616,2011
45,South Carolina,3934,8653,3414,8951,2011
46,South Dakota,2074,6055,2250,5795,2011
47,Tennessee,1445,4342,2190,3416,2011
48,Texas,4484,10044,4056,10169,2011
49,Utah,4418,8052,2423,9740,2011
50,Vermont,2318,4656,1465,5459,2011
51,Virginia,1832,4615,1611,4588,2011
53,Washington,4592,9951,3112,11357,2011
54,West Virginia,1693,3503,1953,3285,2011
55,Wisconsin,1628,3611,1192,3666,2011
56,Wyoming,2161,4587,1719,4834,2011
66,Guam,462,1395,610,1219,2011
72,Puerto Rico,1463,5073,3335,3231,2011
1,Alabama,2385,5102,2650,5005,2010
2,Alaska,603,1287,482,1473,2010
4,Arizona,1805,3884,1496,4251,2010
5,Arkansas,1219,2701,1366,2649,2010
6,California,6333,11327,3718,14057,2010
8,Colorado,3613,7883,2372,9277,2010
9,Connecticut,2125,4553,1712,5055,2010
10,Delaware,1253,2952,1154,3084,2010
11,District of Columbia,1181,2732,808,3165,2010
12,Florida,10839,23358,10268,24750,2010
13,Georgia,1631,4026,1708,4071,2010
15,Hawaii,1716,4777,1247,5304,2010
16,Idaho,2232,4643,1675,5322,2010
17,Illinois,1930,3244,1471,3730,2010
18,Indiana,3378,6626,3129,7071,2010
19,Iowa,1551,4456,1690,4405,2010
20,Kansas,2317,6135,2350,6211,2010
21,Kentucky,2811,5111,2893,5163,2010
22,Louisiana,2126,4795,2259,4771,2010
23,Maine,2588,5394,1968,6150,2010
24,Maryland,2608,6313,2464,6715,2010
25,Massachusetts,4862,11103,4191,12091,2010
26,Michigan,2885,5871,2454,6405,2010
27,Minnesota,2408,6344,1988,6969,2010
28,Mississippi,2377,5553,2970,5113,2010
29,Missouri,1658,3690,1726,3701,2010
30,Montana,2332,4846,1916,5382,2010
31,Nebraska,4594,11511,4895,11472,2010
32,Nevada,1265,2615,965,2943,2010
33,New Hampshire,1803,4175,1412,4626,2010
34,New Jersey,3653,8360,3423,9002,2010
35,New Mexico,2203,4694,1702,5292,2010
36,New York,2948,5762,2257,6672,2010
37,North Carolina,3459,8477,3464,8669,2010
38,North Dakota,1287,3388,1318,3437,2010
39,Ohio,3169,6492,2960,6882,2010
40,Oklahoma,2442,5167,2607,5134,2010
41,Oregon,1634,3344,1014,4041,2010
42,Pennsylvania,3565,7436,3277,7937,2010
44,Rhode Island,2157,4365,1899,4697,2010
45,South Carolina,2710,6431,2901,6490,2010
46,South Dakota,1554,5054,1963,4756,2010
47,Tennessee,1345,4320,1956,3808,2010
48,Texas,5660,11791,5633,12406,2010
49,Utah,3424,6573,2051,8110,2010
50,Vermont,2225,4456,1413,5374,2010
51,Virginia,1472,3802,1539,3842,2010
53,Washington,6051,13282,3974,15609,2010
54,West Virginia,1373,2965,1548,2851,2010
55,Wisconsin,1514,3210,1235,3543,2010
56,Wyoming,1787,3950,1539,4293,2010
66,Guam,172,593,206,577,2010
72,Puerto Rico,771,2704,1668,1874,2010
1,Alabama,2153,4463,2391,4391,2009
2,Alaska,738,1625,568,1854,2009
4,Arizona,1736,3667,1375,4094,2009
5,Arkansas,1207,2697,1397,2604,2009
6,California,6092,11224,3767,13621,2009
8,Colorado,3605,8163,2322,9611,2009
9,Connecticut,1968,4446,1621,4872,2009
10,Delaware,1293,3022,1133,3226,2009
11,District of Columbia,1202,2642,808,3090,2009
12,Florida,3134,8619,3477,8554,2009
13,Georgia,1538,4223,1698,4188,2009
15,Hawaii,1862,4780,1314,5369,2009
16,Idaho,1661,3654,1328,4052,2009
17,Illinois,2067,3752,1479,4365,2009
18,Indiana,3023,6071,2980,6286,2009
19,Iowa,1545,4396,1646,4373,2009
20,Kansas,5216,13486,4969,13926,2009
21,Kentucky,3410,6126,3596,6052,2009
22,Louisiana,2501,6264,2849,6021,2009
23,Maine,2598,5344,1930,6137,2009
24,Maryland,2603,5837,2235,6342,2009
25,Massachusetts,5276,11121,4429,12285,2009
26,Michigan,2974,6129,2634,6609,2009
27,Minnesota,1602,3981,1047,4562,2009
28,Mississippi,3293,7704,3960,7221,2009
29,Missouri,1647,3353,1532,3525,2009
30,Montana,2352,5154,1999,5611,2009
31,Nebraska,4298,11435,4702,11269,2009
32,Nevada,1268,2523,954,2882,2009
33,New Hampshire,1862,4069,1455,4528,2009
34,New Jersey,3640,8385,3458,8916,2009
35,New Mexico,2850,5865,2209,6621,2009
36,New York,2224,4562,1845,5064,2009
37,North Carolina,4026,9042,3790,9476,2009
38,North Dakota,1274,3424,1424,3336,2009
39,Ohio,3131,6519,2841,6916,2009
40,Oklahoma,2527,5197,2725,5108,2009
41,Oregon,1245,2993,872,3417,2009
42,Pennsylvania,2834,6169,2684,6473,2009
44,Rhode Island,2010,4213,1796,4491,2009
45,South Carolina,2811,6757,2969,6861,2009
46,South Dakota,1669,5070,2063,4762,2009
47,Tennessee,1388,4122,1930,3643,2009
48,Texas,3633,7748,3311,8277,2009
49,Utah,3527,6470,2092,8051,2009
50,Vermont,2165,4398,1486,5167,2009
51,Virginia,1375,3703,1370,3812,2009
53,Washington,6290,13728,4514,15748,2009
54,West Virginia,1326,3435,1764,3053,2009
55,Wisconsin,1456,3061,1157,3388,2009
56,Wyoming,1817,4148,1527,4521,2009
66,Guam,261,986,329,937,2009
72,Puerto Rico,920,3216,2107,2132,2009
1,Alabama,2217,4117,2181,4300,2008
2,Alaska,830,1736,679,1969,2008
4,Arizona,1871,4204,1718,4438,2008
5,Arkansas,1680,3892,1925,3761,2008
6,California,4163,7332,2645,8951,2008
8,Colorado,3636,7960,2335,9414,2008
9,Connecticut,1948,4128,1582,4562,2008
10,Delaware,1187,2799,1113,2909,2008
11,District of Columbia,1326,2846,890,3351,2008
12,Florida,2975,7660,3148,7708,2008
13,Georgia,1679,3928,1590,4121,2008
15,Hawaii,1966,4421,1219,5227,2008
16,Idaho,1691,3341,1244,3860,2008
17,Illinois,1843,3289,1528,3634,2008
18,Indiana,1574,3240,1551,3339,2008
19,Iowa,1659,4227,1631,4370,2008
20,Kansas,2257,6252,2415,6210,2008
21,Kentucky,2966,5040,2892,5190,2008
22,Louisiana,1518,4565,1957,4214,2008
23,Maine,2171,4542,1659,5122,2008
24,Maryland,3195,6175,2460,7010,2008
25,Massachusetts,6642,13575,5594,14975,2008
26,Michigan,3120,6198,2708,6735,2008
27,Minnesota,1207,3068,856,3431,2008
28,Mississippi,2425,5361,2811,5128,2008
29,Missouri,1689,3391,1676,3480,2008
30,Montana,2124,4608,1771,5055,2008
31,Nebraska,4254,11782,4846,11385,2008
32,Nevada,1690,3032,1264,3502,2008
33,New Hampshire,2211,4591,1667,5213,2008
34,New Jersey,3344,8184,3332,8397,2008
35,New Mexico,1994,4168,1604,4622,2008
36,New York,2541,5213,2163,5738,2008
37,North Carolina,4772,10787,4404,11420,2008
38,North Dakota,1353,3589,1418,3602,2008
39,Ohio,4280,8495,3792,9153,2008
40,Oklahoma,2499,5179,2683,5125,2008
41,Oregon,1417,3329,960,3832,2008
42,Pennsylvania,4219,8720,4021,9127,2008
44,Rhode Island,1583,3146,1322,3459,2008
45,South Carolina,3045,6867,3036,7149,2008
46,South Dakota,1779,5118,2093,4881,2008
47,Tennessee,1337,3613,1631,3383,2008
48,Texas,3175,7397,3301,7405,2008
49,Utah,1936,3318,1187,4129,2008
50,Vermont,2214,4409,1412,5332,2008
51,Virginia,1596,3634,1475,3826,2008
53,Washington,7099,15149,4814,17694,2008
54,West Virginia,1264,2828,1401,2759,2008
55,Wisconsin,2343,4673,1830,5241,2008
56,Wyoming,2468,5412,2137,5850,2008
66,Guam,221,563,217,577,2008
72,Puerto Rico,1140,3246,2261,2213,2008
1,Alabama,2342,4721,2465,4781,2007
2,Alaska,821,1629,562,1983,2007
4,Arizona,1522,3135,1226,3501,2007
5,Arkansas,1780,3808,1808,3916,2007
6,California,2065,3599,1240,4450,2007
8,Colorado,3804,7957,2115,9782,2007
9,Connecticut,2334,5086,1755,5764,2007
10,Delaware,1306,2666,1012,2979,2007
11,District of Columbia,1256,2657,778,3177,2007
12,Florida,10994,27692,11565,27932,2007
13,Georgia,2469,5079,2168,5526,2007
15,Hawaii,1938,4608,1149,5454,2007
16,Idaho,1739,3495,1195,4109,2007
17,Illinois,1835,3366,1281,3954,2007
18,Indiana,1958,3931,1759,4226,2007
19,Iowa,1388,3947,1326,4099,2007
20,Kansas,2221,6152,2216,6272,2007
21,Kentucky,1909,4821,2611,4294,2007
22,Louisiana,1514,4965,2175,4494,2007
23,Maine,2176,4544,1492,5333,2007
24,Maryland,2848,5856,2165,6661,2007
25,Massachusetts,6914,14284,5537,15959,2007
26,Michigan,2616,4762,1817,5684,2007
27,Minnesota,1345,3413,882,3891,2007
28,Mississippi,2447,5195,2756,5054,2007
29,Missouri,1750,3456,1554,3706,2007
30,Montana,1919,3992,1367,4618,2007
31,Nebraska,2856,7922,2971,7958,2007
32,Nevada,1533,2549,968,3149,2007
33,New Hampshire,1940,3973,1282,4701,2007
34,New Jersey,2278,4851,1979,5252,2007
35,New Mexico,2112,4407,1563,5038,2007
36,New York,2087,4305,1643,4872,2007
37,North Carolina,4316,10194,4016,10751,2007
38,North Dakota,1318,3338,1234,3501,2007
39,Ohio,3749,7271,3090,8114,2007
40,Oklahoma,2305,5012,2436,5015,2007
41,Oregon,1519,3371,937,4013,2007
42,Pennsylvania,4220,8754,3793,9423,2007
44,Rhode Island,1464,2970,1192,3301,2007
45,South Carolina,3100,7042,2753,7624,2007
46,South Dakota,1716,5034,1867,4998,2007
47,Tennessee,1301,3652,1799,3221,2007
48,Texas,5161,11750,5252,11972,2007
49,Utah,1750,3216,1090,3967,2007
50,Vermont,2178,4654,1410,5516,2007
51,Virginia,1861,4245,1562,4635,2007
53,Washington,8381,17165,5084,20769,2007
54,West Virginia,1285,3101,1346,3093,2007
55,Wisconsin,2306,5063,1764,5668,2007
56,Wyoming,1968,4098,1420,4729,2007
66,Guam,170,473,219,438,2007
72,Puerto Rico,1031,2801,1864,2070,2007
