FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year
1,Alabama,2260,4311,800,5934,2017
2,Alaska,987,2129,204,2979,2017
4,Arizona,4755,10514,1000,14422,2017
5,Arkansas,1604,3631,481,4824,2017
6,California,3268,5999,1152,8179,2017
8,Colorado,3373,6278,507,9255,2017
9,Connecticut,3146,7288,500,10031,2017
10,Delaware,1216,2846,444,3670,2017
11,District of Columbia,1258,2533,208,3643,2017
12,Florida,6684,14953,2389,19571,2017
13,Georgia,1753,4205,696,5332,2017
15,Hawaii,2396,5318,287,7455,2017
16,Idaho,1634,3174,317,4548,2017
17,Illinois,1946,3560,366,5171,2017
18,Indiana,4716,8853,1073,12724,2017
19,Iowa,2267,5340,369,7301,2017
20,Kansas,6494,14941,951,20825,2017
21,Kentucky,2987,5539,805,7816,2017
22,Louisiana,1743,2972,475,4326,2017
23,Maine,3304,6252,428,9238,2017
24,Maryland,4055,9315,696,12815,2017
25,Massachusetts,2394,4365,345,6524,2017
26,Michigan,3874,6885,522,10328,2017
27,Minnesota,4988,11882,740,16272,2017
28,Mississippi,1660,3284,547,4509,2017
29,Missouri,2331,5170,649,6932,2017
30,Montana,1708,4113,368,5527,2017
31,Nebraska,4399,10780,991,14334,2017
32,Nevada,1211,2510,314,3437,2017
33,New Hampshire,1750,3924,249,5482,2017
34,New Jersey,3509,7995,772,10891,2017
35,New Mexico,2184,4286,744,5782,2017
36,New York,4123,7842,1140,11026,2017
37,North Carolina,1533,3315,510,4390,2017
38,North Dakota,1999,4889,398,6575,2017
39,Ohio,3919,8152,792,11455,2017
40,Oklahoma,2056,4432,492,6128,2017
41,Oregon,2049,3226,298,5045,2017
42,Pennsylvania,2407,4070,334,6189,2017
44,Rhode Island,1839,3735,350,5259,2017
45,South Carolina,3521,7506,1167,10091,2017
46,South Dakota,1830,5080,498,6504,2017
47,Tennessee,1937,3767,579,5245,2017
48,Texas,3693,8319,1528,10672,2017
49,Utah,3771,6344,472,9736,2017
50,Vermont,2144,4299,257,6228,2017
51,Virginia,2847,6619,660,8935,2017
53,Washington,4567,8485,756,12462,2017
54,West Virginia,1865,3529,606,4854,2017
55,Wisconsin,1957,3804,270,5516,2017
56,Wyoming,1279,3138,198,4257,2017
66,Guam,497,998,135,1370,2017
72,Puerto Rico,992,3440,858,3608,2017
1,Alabama,2452,4415,786,6226,2016
2,Alaska,949,1893,165,2736,2016
4,Arizona,3158,7643,723,10188,2016
5,Arkansas,1600,3596,526,4758,2016
6,California,3951,7355,1494,9819,2016
8,Colorado,4918,9801,875,14027,2016
9,Connecticut,3358,7525,540,10465,2016
10,Delaware,1098,2883,401,3640,2016
11,District of Columbia,1224,2545,219,3608,2016
12,Florida,10026,26139,3898,32830,2016
13,Georgia,1511,3764,620,4741,2016
15,Hawaii,2388,5648,298,7772,2016
16,Idaho,1711,3437,355,4877,2016
17,Illinois,1588,3126,351,4412,2016
18,Indiana,3468,7395,893,10145,2016
19,Iowa,1916,5233,384,6862,2016
20,Kansas,3342,8613,622,11504,2016
21,Kentucky,3236,6872,934,9309,2016
22,Louisiana,1743,3416,579,4661,2016
23,Maine,3315,6558,466,9533,2016
24,Maryland,5588,12647,1028,17376,2016
25,Massachusetts,2853,5347,499,7865,2016
26,Michigan,4091,7777,645,11355,2016
27,Minnesota,4923,11677,748,16026,2016
28,Mississippi,1456,3516,680,4442,2016
29,Missouri,2162,4845,635,6476,2016
30,Montana,1640,4240,381,5576,2016
31,Nebraska,4224,10811,951,14207,2016
32,Nevada,1483,2791,394,3933,2016
33,New Hampshire,1884,4454,314,6094,2016
34,New Jersey,2131,5375,577,7035,2016
35,New Mexico,1849,4105,720,5291,2016
36,New York,10926,22579,2952,31070,2016
37,North Carolina,1986,4460,720,5798,2016
38,North Dakota,1553,4100,325,5401,2016
39,Ohio,3671,8532,860,11504,2016
40,Oklahoma,2054,4727,518,6379,2016
41,Oregon,2073,3256,301,5112,2016
42,Pennsylvania,2462,4267,398,6391,2016
44,Rhode Island,1785,3589,409,5016,2016
45,South Carolina,3561,7479,1215,10003,2016
46,South Dakota,1480,4204,314,5442,2016
47,Tennessee,1991,4047,649,5496,2016
48,Texas,3283,8186,1351,10314,2016
49,Utah,3891,6938,511,10440,2016
50,Vermont,2141,4312,318,6210,2016
51,Virginia,2612,6250,735,8230,2016
53,Washington,4815,9268,769,13426,2016
54,West Virginia,2362,4676,827,6312,2016
55,Wisconsin,1683,3545,270,4986,2016
56,Wyoming,1207,3232,228,4253,2016
66,Guam,472,1095,138,1435,2016
72,Puerto Rico,1297,4416,1161,4611,2016
1,Alabama,2579,5206,947,6977,2015
2,Alaska,1196,2372,239,3397,2015
4,Arizona,2366,5425,580,7323,2015
5,Arkansas,1545,3574,591,4645,2015
6,California,4477,8022,1663,10899,2015
